editor	number of edits
Kturner0287	1
Celtic1985	1
IceCreamAntisocial	9
MileyLoveThatGirl	1
Asiaticus	10
Eyalmc	2
128.232.247.230	1
BBCAudiobooksAmerica	3
10metreh	1
Mtl4040	2
Bizio87	1
-Majestic-	4
Jim Sweeney	27
98.118.78.31	2
71.203.93.39	1
Nsaa	1
92.3.126.157	1
209.169.162.46	1
190.43.48.5	1
Markvo	2
InfernoXV	1
Alex Schult	2
Adriaan Joubert	3
67.191.23.124	2
190.160.172.152	1
XealRey	1
24.21.106.150	1
86.24.102.36	1
Aboeing	2
137.49.80.30	2
66.31.150.161	4
2.97.4.18	1
Delinquent1904	8
79.42.75.146	1
66.215.186.203	4
24.130.1.39	1
Dewritech	7
90.212.171.31	1
76.232.0.243	1
190.160.169.104	1
92.20.112.120	2
Renata3	13
96.55.232.110	2
GabeIglesia	1
205.245.95.254	1
71.36.103.11	1
93.154.192.91	1
70.187.186.206	1
119.152.144.38	1
Sebmcateer	1
Coldmachine	4
Fullobeans	1
Risssa	8
78.102.209.134	1
Triwbe	29
203.122.110.228	1
Doh286	2
96.245.204.104	1
MattieTK	2
Kitchen roll	1
76.98.130.236	2
2602:306:CCE1:F0D0:608C:B035:BC56:F360	1
JaGa	44
Leandros	1
Enea95	1
Davecurrey	1
190.78.56.152	1
90.142.144.88	1
74.230.247.136	1
Latebird	2
79.141.130.152	1
Toadally relaxt	1
83.100.172.91	1
83.171.183.254	1
KnowIG	3
FoxBot	9
Jacrio	20
84.222.31.5	1
71.188.51.82	3
LifeOnceLost	6
The Utahraptor	3
80.31.192.42	3
Franko12	1
71.75.224.62	1
85.158.139.100	1
TheBelgradePhantom	1
MBS2009	1
Shino ib	1
GoldenNose007	1
87.13.75.138	1
24.101.111.245	1
Mentibot	2
Bigmac74	1
203.177.74.141	1
98.206.186.50	1
Kumalikrazy	1
68.33.56.83	1
Joefromrandb	3
Krenair	1
FwdObserver	1
Allwham	1
65.125.206.18	1
PatGallacher	1
122.169.81.122	1
CheesyBiscuit	3
DannyMicro	1
71.156.155.161	1
24.27.45.185	1
VolkovBot	86
75.85.172.248	1
Kscfl2008	5
198.87.24.254	1
86.135.210.29	1
71.41.122.142	1
Godahartus	2
68.82.175.142	1
208.104.106.239	1
109.76.130.219	1
Lifebonzza	1
David Edgar	1
Fma12	1
77.109.208.59	1
Rjd0060	4
213.180.35.198	1
24.141.199.158	1
Dr.frog	1
Abueno97	16
Number 57	47
186.104.61.105	1
Michael Zimmermann	2
72.200.149.21	1
74.235.78.22	2
80.61.234.88	1
87.148.102.26	2
58.8.4.161	2
HeLmiT	1
Blackshod	1
Meisfunny	41
Nephron	2
Oddharmonic	17
63.81.9.97	2
Accurizer	2
EricWR	1
Ttonyb1	1
Molly-in-md	2
217.42.45.137	1
24.10.51.88	2
KCinDC	1
152.78.7.195	1
PittJames	1
217.36.24.209	5
75.32.197.189	1
78.141.34.142	1
GrahamBould	8
AtticusX	2
Snek01	4
SeveroBot	10
96.232.60.96	1
Spinach Monster	1
Staecker	1
Sakanalaw	3
198.103.96.11	1
72.53.80.85	1
Brian Everlasting	1
205.211.239.134	2
Hugo999	38
Love4ludacris	1
GourguesMd	1
Bonvallite	1
66.46.109.222	6
58.8.76.203	2
218.18.41.143	2
Markg11cdn	2
Ralfryan	2
79.183.192.224	1
108.46.255.12	2
208.120.7.183	1
Riffic	1
66.76.255.235	1
93.86.135.66	1
Gogo Dodo	6
24.98.56.192	1
Ctempleton3	1
77.163.11.182	2
Kamran the Great	1
Gensanders	3
Bubba73	6
84.228.52.213	2
71.226.22.32	1
71.204.163.139	5
90.192.213.159	1
86.10.120.38	1
67.206.86.130	1
76.176.205.51	1
151.197.48.243	2
MuZemike	6
Geregen2	14
WikitanvirBot	30
Luokehao	2
82.158.87.205	1
209.98.64.3	1
109.93.181.140	1
Bernie marshall	7
86.166.73.65	1
Victor12	1
Versus22	11
82.55.67.222	1
147.91.175.134	2
122.162.225.31	23
Bobak	2
RJHall	4
90.195.123.232	1
183.82.159.107	1
Andre666	1
83.212.78.208	1
-walrus1234-	3
David Nelson	2
97.90.59.227	5
207.118.173.244	1
Brian the Editor	1
.45Colt	2
MaksymilianTrombone	1
DocKrin	1
108.85.56.226	1
212.200.212.71	1
Carlossfsu	13
132.185.144.123	1
132.185.144.122	1
27.32.2.252	3
173.174.160.254	1
W.A.C.	1
7 Sea Cods	1
Danigro89	11
LizGere	2
Law Lord	1
128.232.235.159	1
Anwarapscl	1
Toomuchcash	3
24.85.238.200	1
71.136.51.179	3
Cadan001	1
99.29.112.98	1
ParisianBlade	1
72.9.29.240	2
98.203.252.255	1
Payel cse	1
Motech	1
98.27.178.156	2
83.250.29.54	1
Zntrip	5
Alexmate	3
Akhilleus	1
137.164.227.136	2
Magicpiano	4
69.230.56.158	1
70.111.192.150	2
Dubaismart	1
JBC3	1
MichaelOOman	1
Zangar	4
Capricorn42	13
Just a member	1
173.31.188.113	1
72.208.151.106	1
John Reaves	1
203.73.183.221	2
69.225.228.39	1
Micromaster	1
Harlock jds	13
98.234.170.224	2
78.144.31.106	2
90.191.216.31	2
Kotniski	67
124.179.231.32	2
212.85.24.116	1
Trueblue14	1
Derricklove2	1
90.24.234.136	2
81.154.187.125	1
WriterHound	7
86.177.18.227	1
71.40.222.62	4
Keithbob	80
Asocall	1
Theo10011	2
96.255.206.217	1
27.108.193.150	2
66.71.107.180	1
173.2.246.75	1
112.204.244.79	1
117.192.111.227	2
CartoonDiablo	2
173.48.184.55	1
82.12.185.189	8
201.19.90.109	1
81.207.182.160	2
155.247.155.37	3
79.101.188.168	1
98.227.243.6	1
SteveO	1
Subversive.sound	2
74.37.124.92	1
85.210.47.97	1
Maniacduhockey	1
Polmaqwerty92	1
Ouedbirdwatcher	1
Resistme	1
72.69.215.57	2
Martin's bot	8
122.53.159.119	1
Mathiasrex	3
217.134.88.38	1
WhatGuy	1
158.121.194.146	8
180.183.124.155	6
Houdin654jeff	1
TuHan-Bot	3
65.68.231.146	4
69.159.3.154	1
Umpkinpeter	5
Sydneydarke1	3
Jakew	1
96.252.104.66	2
85.179.74.10	1
Highwind888	6
Kind Herb	2
98.112.72.81	1
89.169.133.179	8
99.235.33.32	1
Topbanana	8
202.156.8.254	1
35.11.230.243	11
Billmckern	1
96.224.242.115	2
JamAKiska	1
Aragor34	1
24.187.154.209	1
JayC	2
Wikipedian192	1
Bob the Wikipedian	1
Vclaw	1
81.104.147.183	1
92.41.85.117	1
116.20.249.63	1
Hhbruun	1
166.129.100.155	1
Sürrell	3
LivSM	3
24.130.81.203	1
68.194.243.191	1
Inconsequentially	2
87.187.40.220	1
58.111.108.43	2
195.222.134.70	1
