article	number of edits
(18205438,)	47
(18202047,)	1
(18209841,)	1
(18213223,)	8
(18200512,)	1
(18197083,)	2
(18212481,)	1
(18213702,)	19
(18207752,)	90
(18206975,)	1
(18213132,)	1
(18198041,)	6
(18203828,)	2
(18211613,)	23
(18201667,)	1
(18216272,)	1
(18213867,)	3
(18207933,)	3
(18205512,)	17
(18196208,)	3
(18209931,)	2
(18218765,)	32
(18198222,)	1
(18223503,)	32
(18199578,)	21
(18204958,)	7
(18209617,)	8
(18218451,)	244
(18223214,)	2
(18199264,)	10
(18206486,)	1
(18202327,)	3
(18205693,)	6
(18207049,)	1
(18215883,)	20
(18224742,)	1
(18221272,)	1
(18198387,)	2
(18203918,)	1
(18197338,)	11
(18212736,)	49
(18213982,)	23
(18200708,)	1
(18223123,)	23
(18200238,)	2
(18212463,)	51
(18205602,)	4
(18207230,)	1
(18224651,)	1
(18209228,)	12
(18198296,)	21
(18208758,)	20
(18206081,)	11
(18207709,)	3
(18213098,)	34
(18224337,)	19
(18217517,)	76
(18204759,)	1
(18224816,)	3
(18212058,)	3
(18207618,)	2
(18214056,)	2
(18219843,)	3
(18209897,)	1
(18222890,)	4
(18205717,)	1
(18207329,)	2
(18204924,)	2
(18213758,)	3
(18197618,)	63
(18205403,)	7
(18211190,)	2
(18209822,)	5
(18224427,)	3
(18205882,)	6
(18207254,)	1
(18204833,)	10
(18213667,)	3
(18209508,)	131
(18197543,)	29
(18205312,)	7
(18211099,)	1
(18208938,)	6
(18223559,)	3
(18207419,)	3
(18214881,)	16
(18210466,)	5
(18213832,)	4
(18195710,)	2
(18215204,)	25
(18200113,)	1
(18207898,)	522
(18205493,)	9
(18217937,)	2
(18197138,)	73
(18207584,)	2
(18200764,)	6
(18216418,)	22
(18222600,)	12
(18199245,)	25
(18206707,)	3
(18208079,)	123
(18205658,)	8
(18214517,)	79
(18207030,)	1
(18215848,)	1
(18199724,)	2
(18197319,)	4
(18206137,)	9
(18205088,)	8
(18200203,)	35
(18197798,)	2
(18207195,)	3
(18196279,)	1
(18210242,)	2
(18215005,)	1078
(18223839,)	50
(18205294,)	6
(18207674,)	1
(18195965,)	182
(18205773,)	57
(18204724,)	7
(18207104,)	3
(18213558,)	19
(18205203,)	6
(18206831,)	1
(18216698,)	33
(18213244,)	1
(18222078,)	1
(18203684,)	1
(18223434,)	1
(18200549,)	1
(18197104,)	14
(18203370,)	24
(18206740,)	2
(18210043,)	1
(18218877,)	1
(18223615,)	13
(18197029,)	2
(18212683,)	2
(18207475,)	3
(18210522,)	1
(18209473,)	3
(18197508,)	4
(18205549,)	8
(18211320,)	19
(18217737,)	3
(18206028,)	9
(18204979,)	2
(18210447,)	147
(18222656,)	3
(18207879,)	2
(18216953,)	4
(18196154,)	1
(18223714,)	17
(18203939,)	2
(18199780,)	12
(18197375,)	1
(18205144,)	1
(18210612,)	1
(18199210,)	28
(18205639,)	9
(18214482,)	26
(18206995,)	16
(18213433,)	4
(18215829,)	2
(18224672,)	2
(18223639,)	21
(18205069,)	6
(18219699,)	3
(18210777,)	2
(18215540,)	2
(18212879,)	7
(18209728,)	1
(18212393,)	14
(18196970,)	6
(18211344,)	116
(18216019,)	3
(18214970,)	2
(18221399,)	2
(18198498,)	1
(18208688,)	53
(18205259,)	6
(18220913,)	14
(18216498,)	26
(18202691,)	42
(18196895,)	3
(18214572,)	1
(18201554,)	22
(18216184,)	1
(18219310,)	22
(18209364,)	15
(18198423,)	1
(18200035,)	10
(18196606,)	17
(18212004,)	1
(18220838,)	10
(18213209,)	1
(18223092,)	2
(18208794,)	24
(18222043,)	3
(18198134,)	23
(18203649,)	2
(18202856,)	4
(18205919,)	7
(18204870,)	3
(18216109,)	1
(18203351,)	2
(18212169,)	19
(18205349,)	1
(18206961,)	1
(18214183,)	1
(18219954,)	17
(18208975,)	18
(18218842,)	2
(18203830,)	1
(18196994,)	8
(18205828,)	8
(18205035,)	9
(18217239,)	1
(18196680,)	1
(18205514,)	5
(18220144,)	4
(18209933,)	2
(18215704,)	40
(18213299,)	3
(18217974,)	33
(18197175,)	1
(18212829,)	1
(18207365,)	41
(18203425,)	7
(18212259,)	24
(18205695,)	6
(18207051,)	1
(18213489,)	30
(18224728,)	4
(18209049,)	73
(18221274,)	1
(18212738,)	21
(18206174,)	59
(18201759,)	62
(18205125,)	8
(18200710,)	1
(18204655,)	33
(18217594,)	1
(18197819,)	13
(18206653,)	2
(18205604,)	10
(18220234,)	2
(18207216,)	1
(18216843,)	4
(18213414,)	4
(18209230,)	3
(18207711,)	97
(18210758,)	12
(18215505,)	3
(18213100,)	1
(18195730,)	19
(18209709,)	1
(18224339,)	10
(18221934,)	58
(18223290,)	1
(18212374,)	19
(18196951,)	19
(18204745,)	1
(18220415,)	10
(18219366,)	1
(18196465,)	36
(18224818,)	3
(18217998,)	2
(18223769,)	1
(18203226,)	18
(18199835,)	1
(18197430,)	29
(18206273,)	12
(18205224,)	5
(18207620,)	2
(18223471,)	21
(18202656,)	1
(18204926,)	9
(18216165,)	9
(18209329,)	13
(18206454,)	29
(18207810,)	120
(18205405,)	12
(18211176,)	13
(18214239,)	13
(18213190,)	3
(18224429,)	14
(18197050,)	2
